Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
1,292,292,59,1.0,6.716991063004486,6.250081068457435,116,50,120,6,0.5132743362831859,0.46296296296296297,0.5555555555555556,0.5
2,292,292,67,1.0,6.87106607295871,6.361187832426384,109,51,120,12,0.5069767441860465,0.6071428571428571,0.5,0.5217391304347826
3,292,292,67,1.0,6.618730831318266,6.265320534567846,113,45,125,9,0.5330188679245284,0.5,0.508130081300813,0.6428571428571429
4,292,292,74,1.0,6.557001646595546,6.2996813045970335,113,48,125,6,0.5458937198067633,0.48484848484848486,0.5230125523012552,0.35294117647058826
5,292,292,68,1.0,6.708232663383716,6.29281704984912,104,41,135,12,0.5360824742268041,0.45555555555555555,0.5378486055776892,0.4444444444444444
6,292,292,83,1.0,6.498907077593702,6.302427202629697,112,40,130,10,0.4745762711864407,0.5128205128205128,0.5803571428571429,0.4166666666666667
7,292,292,75,1.0,6.802312298983287,6.271529069390456,112,49,120,11,0.5544554455445545,0.532608695652174,0.4897959183673469,0.4782608695652174
8,292,292,86,1.0,6.73475315983484,6.305258747670326,109,48,128,7,0.5046296296296297,0.5783132530120482,0.5182186234817814,0.4375
9,292,292,84,1.0,6.593231816137605,6.231505761195981,114,46,124,8,0.5,0.5542168674698795,0.5254237288135594,0.5333333333333333
10,292,292,86,1.0,6.787556618003841,6.264848398786709,105,44,131,12,0.5,0.5641025641025641,0.515748031496063,0.6
11,292,292,64,1.0,6.86934221972783,6.326010470562935,93,53,133,13,0.4869109947643979,0.5760869565217391,0.5135135135135135,0.65
12,292,292,81,1.0,6.667776212922485,6.252998364686535,102,42,133,15,0.5151515151515151,0.5526315789473685,0.5135135135135135,0.5172413793103449
13,292,292,70,1.0,6.590853890747527,6.25991466487882,109,54,124,5,0.5343137254901961,0.5567010309278351,0.4940239043824701,0.5
14,292,292,64,1.0,6.701035480288983,6.318302405499428,117,46,123,6,0.5545023696682464,0.5411764705882353,0.4939759036144578,0.35294117647058826
15,292,292,58,1.0,6.9358089561782075,6.322495445072697,106,49,122,15,0.5047619047619047,0.5568181818181818,0.5191489361702127,0.5172413793103449
16,292,292,68,1.0,6.707049770803518,6.234413860395766,109,40,130,13,0.5215311004784688,0.45977011494252873,0.5416666666666666,0.5
17,292,292,81,1.0,6.752714345540268,6.271736833202122,105,45,129,13,0.4883720930232558,0.5294117647058824,0.5330578512396694,0.65
