Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
1,292,292,78,1.0,351.376997889605,6.226075895503697,106,44,125,17,0.49765258215962443,0.4731182795698925,0.5387931034482759,0.7083333333333334
2,292,292,67,1.0,342.2317234672603,6.1914039503450775,119,39,122,12,0.54337899543379,0.4588235294117647,0.5147679324894515,0.5714285714285714
3,292,292,62,1.0,338.7290812242123,6.268064466909247,107,49,131,5,0.49537037037037035,0.5764705882352941,0.5303643724696356,0.35714285714285715
4,292,292,68,1.0,300.50276194794765,6.303050678804462,104,50,129,9,0.5024154589371981,0.5102040816326531,0.5352697095435685,0.5625
5,292,292,71,1.0,368.5138489723333,6.255438040761657,99,44,137,12,0.5238095238095238,0.5176470588235295,0.5169811320754717,0.5217391304347826
6,292,292,73,1.0,342.8515247736144,6.265994552897189,111,46,124,11,0.5495049504950495,0.5111111111111111,0.5040650406504065,0.4583333333333333
7,292,292,63,1.0,333.7655346408995,6.271167950360687,106,49,126,11,0.5023696682464455,0.5833333333333334,0.5101214574898786,0.55
8,292,292,76,1.0,356.48544840039716,6.256167313018915,119,38,125,10,0.5409090909090909,0.5066666666666667,0.5102040816326531,0.45454545454545453
9,292,292,65,1.0,318.8171638549802,6.276970119390826,106,45,128,13,0.49765258215962443,0.5487804878048781,0.5224489795918368,0.5909090909090909
10,292,292,82,1.0,319.51404398953963,6.29143588232615,113,38,131,10,0.518348623853211,0.4523809523809524,0.5413223140495868,0.5555555555555556
11,292,292,69,1.0,314.30970010068904,6.298449858000687,106,47,131,8,0.527363184079602,0.5340909090909091,0.515748031496063,0.42105263157894735
12,292,292,80,1.0,320.9229388570708,6.268585395937299,101,56,125,10,0.4975369458128079,0.4827586206896552,0.5555555555555556,0.5555555555555556
13,292,292,60,1.0,311.51974834393974,6.411099096603465,102,50,129,11,0.4927536231884058,0.5434782608695652,0.5286885245901639,0.5789473684210527
14,292,292,71,1.0,351.0746177840473,6.195888954187255,122,43,118,9,0.5304347826086957,0.5733333333333334,0.5,0.42857142857142855
15,292,292,70,1.0,319.63518081523756,6.363475096760751,104,49,135,4,0.49056603773584906,0.5268817204301075,0.5465587044534413,0.4
16,292,292,81,1.0,354.8995316905349,6.134645065631434,116,41,127,8,0.5742574257425742,0.47126436781609193,0.5,0.42105263157894735
17,292,292,73,1.0,337.46985387129234,6.262099475210127,114,43,120,15,0.5066666666666667,0.48863636363636365,0.5333333333333333,0.625
18,292,292,68,1.0,333.37650800595816,6.271890660522828,111,50,121,10,0.4911504424778761,0.5952380952380952,0.5148936170212766,0.5882352941176471
19,292,292,63,1.0,328.5369818767223,6.215601450364227,110,52,120,10,0.5069124423963134,0.5416666666666666,0.5263157894736842,0.47619047619047616
