Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
1,292,292,59,1.0,5.50438300328171,5.091532938732324,116,55,114,7,0.5132743362831859,0.5092592592592593,0.5277777777777778,0.5833333333333334
2,292,292,67,1.0,5.533235514152613,5.178303354110767,109,47,124,12,0.5069767441860465,0.5595238095238095,0.5166666666666667,0.5217391304347826
3,292,292,67,1.0,5.552978764151506,5.3289694509471115,116,45,122,9,0.5471698113207547,0.5,0.4959349593495935,0.6428571428571429
4,292,292,74,1.0,5.328459676280021,5.197641490880091,107,60,116,9,0.5169082125603864,0.6060606060606061,0.48535564853556484,0.5294117647058824
5,292,292,68,1.0,5.376758298096288,5.127794942175815,101,42,134,15,0.520618556701031,0.4666666666666667,0.5338645418326693,0.5555555555555556
6,292,292,83,1.0,5.347125453438618,5.291323291010168,121,40,119,12,0.5127118644067796,0.5128205128205128,0.53125,0.5
7,292,292,75,1.0,5.440570330484632,5.212084684148164,104,51,124,13,0.5148514851485149,0.5543478260869565,0.5061224489795918,0.5652173913043478
8,292,292,86,1.0,5.28406585139103,5.132725894013113,118,40,124,10,0.5462962962962963,0.4819277108433735,0.5020242914979757,0.625
9,292,292,84,1.0,5.4000775550394104,5.171716956300599,116,43,126,7,0.5087719298245614,0.5180722891566265,0.5338983050847458,0.4666666666666667
10,292,292,86,1.0,5.4248868807612025,5.2528026887896235,111,42,126,13,0.5285714285714286,0.5384615384615384,0.49606299212598426,0.65
11,292,292,64,1.0,5.505356395333021,5.247040093032857,101,47,136,8,0.5287958115183246,0.5108695652173914,0.525096525096525,0.4
12,292,292,81,1.0,5.483058942850643,5.220919634342137,113,37,123,19,0.5707070707070707,0.4868421052631579,0.4749034749034749,0.6551724137931034
13,292,292,70,1.0,5.565379042882554,5.219056678499133,103,56,130,3,0.5049019607843137,0.5773195876288659,0.5179282868525896,0.3
14,292,292,64,1.0,5.387611891109324,5.234703316720235,110,52,120,10,0.5213270142180095,0.611764705882353,0.4819277108433735,0.5882352941176471
15,292,292,58,1.0,5.361488076432449,5.1736149975021215,106,48,123,15,0.5047619047619047,0.5454545454545454,0.5234042553191489,0.5172413793103449
16,292,292,68,1.0,5.459680516344604,5.157265454588557,102,50,133,7,0.4880382775119617,0.5747126436781609,0.5541666666666667,0.2692307692307692
17,292,292,81,1.0,5.431616116258867,5.254389303899326,112,48,120,12,0.5209302325581395,0.5647058823529412,0.49586776859504134,0.6
18,292,292,77,1.0,5.59645487296093,5.286249350874989,113,40,130,9,0.4977973568281938,0.45454545454545453,0.5676855895196506,0.5
19,292,292,78,1.0,5.421849921951549,5.182534146894147,106,46,128,12,0.49074074074074076,0.5974025974025974,0.5140562248995983,0.6
20,292,292,67,1.0,5.492636583618851,5.159408024798157,106,50,123,13,0.5120772946859904,0.5434782608695652,0.5125,0.5652173913043478
21,292,292,76,1.0,5.32094987916259,5.136557806895337,111,46,121,14,0.5235849056603774,0.4791666666666667,0.5260869565217391,0.5833333333333334
22,292,292,72,1.0,5.481586966156209,5.17469510263187,96,52,133,11,0.49740932642487046,0.5252525252525253,0.5341365461847389,0.5238095238095238
23,292,292,66,1.0,5.674554675584385,5.2286050358167255,115,40,125,12,0.5450236966824644,0.49382716049382713,0.5165289256198347,0.42857142857142855
24,292,292,73,1.0,5.548425248922189,5.175162933510344,117,43,123,9,0.5342465753424658,0.5657894736842105,0.492,0.5294117647058824
25,292,292,67,1.0,5.368912065698147,5.238329335617502,113,48,119,12,0.5458937198067633,0.45714285714285713,0.5173913043478261,0.6
26,292,292,75,1.0,5.728527792897142,5.401118196166344,110,54,116,12,0.4954954954954955,0.5806451612903226,0.5065502183406113,0.6666666666666666
27,292,292,84,1.0,5.359774674820073,5.218372960760754,113,53,118,8,0.5355450236966824,0.5408163265306123,0.5064377682403434,0.4
28,292,292,84,1.0,5.420918277626614,5.095961702368846,118,45,120,9,0.5267857142857143,0.4945054945054945,0.5381165919282511,0.375
29,292,292,67,1.0,5.429026921432693,5.136099750224967,114,36,131,11,0.5402843601895735,0.5,0.5038461538461538,0.5789473684210527
30,292,292,74,1.0,5.33738090117504,5.239572210871134,115,42,126,9,0.5043859649122807,0.5316455696202531,0.5294117647058824,0.5294117647058824
31,292,292,88,1.0,5.57685935254657,5.176510725900082,105,47,122,18,0.5147058823529411,0.5,0.5169491525423728,0.6428571428571429
32,292,292,67,1.0,5.403267500384658,5.148387293870285,106,57,119,10,0.5196078431372549,0.5480769230769231,0.5151515151515151,0.43478260869565216
33,292,292,68,1.0,5.569532906981756,5.171439329226147,103,47,132,10,0.533678756476684,0.5280898876404494,0.5038167938931297,0.5555555555555556
34,292,292,75,1.0,5.452183565490751,5.184831827645613,108,46,129,9,0.5,0.575,0.5180722891566265,0.5294117647058824
35,292,292,72,1.0,5.368183755621152,5.2383766924747155,104,42,137,9,0.5252525252525253,0.4883720930232558,0.5372549019607843,0.391304347826087
36,292,292,77,1.0,5.40112910898922,5.176869580540765,107,50,129,6,0.5,0.5747126436781609,0.5443037974683544,0.25
37,292,292,67,1.0,5.504542960721479,5.198077303530578,100,54,130,8,0.5076142131979695,0.5567010309278351,0.5179282868525896,0.47058823529411764
38,292,292,59,1.0,5.472339378442511,5.212626908544237,99,52,133,8,0.5210526315789473,0.5714285714285714,0.5076335877862596,0.42105263157894735
39,292,292,67,1.0,5.316454489768146,5.20634993179413,110,47,127,8,0.5445544554455446,0.5164835164835165,0.5,0.5333333333333333
40,292,292,75,1.0,5.401247224385683,5.078190883397579,119,45,118,10,0.53125,0.5625,0.5,0.45454545454545453
41,292,292,75,1.0,5.593264677780912,5.227964052227886,110,47,127,8,0.5392156862745098,0.5280898876404494,0.5100401606425703,0.4
42,292,292,81,1.0,5.455439892624715,5.115965215683792,101,58,123,10,0.5519125683060109,0.5420560747663551,0.48616600790513836,0.5263157894736842
43,292,292,72,1.0,5.581382187740458,5.153181973098778,105,45,137,5,0.5357142857142857,0.5555555555555556,0.5018315018315018,0.4166666666666667
44,292,292,79,1.0,5.37076021390805,5.2208203030598,110,42,126,14,0.497737556561086,0.5185185185185185,0.5361702127659574,0.56
45,292,292,68,1.0,5.453042189623729,5.215176769936556,110,48,125,9,0.4954954954954955,0.5714285714285714,0.5296610169491526,0.45
46,292,292,79,1.0,5.306538623766985,5.232733528103102,97,45,133,17,0.48258706467661694,0.4945054945054945,0.540650406504065,0.7083333333333334
47,292,292,68,1.0,5.555871618115945,5.194820041258028,111,40,132,9,0.5186915887850467,0.46511627906976744,0.5344129554655871,0.6
48,292,292,75,1.0,5.649371315790151,5.2555234514284015,109,47,127,9,0.5093457943925234,0.47,0.5450643776824035,0.6
49,292,292,73,1.0,5.389029640430443,5.201589203810651,107,47,131,7,0.5404040404040404,0.44339622641509435,0.5458333333333333,0.3888888888888889
50,292,292,68,1.0,5.3262248082470425,5.236224577565045,103,49,129,11,0.5364583333333334,0.5697674418604651,0.49049429657794674,0.5238095238095238
51,292,292,83,1.0,5.293400735315691,5.14158007887756,108,39,136,9,0.5595854922279793,0.47560975609756095,0.5074626865671642,0.47368421052631576
52,292,292,67,1.0,5.395238730440163,5.20841419766801,102,48,134,8,0.5204081632653061,0.5217391304347826,0.5193798449612403,0.5
53,292,292,60,1.0,5.43323533591343,5.224900539985851,105,51,121,15,0.525,0.51,0.5170940170940171,0.5357142857142857
54,292,292,58,1.0,5.520319894281977,5.131985514377751,113,30,139,10,0.509009009009009,0.5882352941176471,0.5129151291512916,0.5555555555555556
55,292,292,77,1.0,5.415384377639037,5.143839593008971,101,44,128,19,0.49029126213592233,0.5238095238095238,0.5245901639344263,0.6785714285714286
56,292,292,70,1.0,5.403041002226933,5.136962008239094,98,52,134,8,0.5130890052356021,0.52,0.5381526104417671,0.36363636363636365
57,292,292,90,1.0,5.476005061918381,5.109501218074971,114,44,124,10,0.5135135135135135,0.5238095238095238,0.5232067510548524,0.5263157894736842
58,292,292,63,1.0,5.552235205883475,5.267951851610864,112,38,128,14,0.5436893203883495,0.5277777777777778,0.48854961832061067,0.6363636363636364
59,292,292,69,1.0,5.326349054123914,5.152594602383882,104,47,132,9,0.49523809523809526,0.6103896103896104,0.5136186770428015,0.5
60,292,292,83,1.0,5.38227723375113,5.263415169081572,104,53,131,4,0.5333333333333333,0.5145631067961165,0.5261044176706827,0.26666666666666666
61,292,292,75,1.0,5.600096288157167,5.2258489245914035,114,45,120,13,0.5135135135135135,0.4838709677419355,0.5286343612334802,0.65
