Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
1,292,292,39,0.52,5.247460087684302,5.1732968802296355,118,38,127,9,0.5592417061611374,0.4523809523809524,0.5141700404858299,0.45
2,292,292,42,0.65625,5.47996582384986,5.271171006193397,97,54,132,9,0.44495412844036697,0.5934065934065934,0.5569620253164557,0.5625
3,292,292,37,0.5068493150684932,5.402478873597256,5.207141313926902,122,43,112,15,0.5281385281385281,0.44329896907216493,0.5283018867924528,0.6818181818181818
4,292,292,51,0.6375,5.379712950074604,5.221063059005643,116,55,112,9,0.5155555555555555,0.5913978494623656,0.49777777777777776,0.47368421052631576
5,292,292,29,0.4393939393939394,5.329586103457738,5.210391211715959,107,52,114,19,0.46320346320346323,0.5977011494252874,0.5377358490566038,0.59375
6,292,292,46,0.5287356321839081,5.399882878224649,5.241352911443015,105,51,124,12,0.5303030303030303,0.5604395604395604,0.5145228215767634,0.375
7,292,292,33,0.532258064516129,5.2261899851673155,5.10402821215001,121,45,114,12,0.5238095238095238,0.5487804878048781,0.49137931034482757,0.7058823529411765
8,292,292,37,0.4567901234567901,5.487021258905985,5.215650580149077,107,47,130,8,0.4908256880733945,0.5529411764705883,0.5284552845528455,0.6153846153846154
9,292,292,33,0.4852941176470588,5.372430270300395,5.228107915824944,103,44,139,6,0.4858490566037736,0.5116279069767442,0.5582329317269076,0.4
10,292,292,43,0.5119047619047619,5.395249115762845,5.196583401155556,111,49,124,8,0.5260663507109005,0.5212765957446809,0.5254237288135594,0.38095238095238093
11,292,292,30,0.40540540540540543,5.44428048480732,5.220312773260066,116,36,133,7,0.5370370370370371,0.4675324675324675,0.532,0.3684210526315789
12,292,292,34,0.5151515151515151,5.460970704091005,5.198533194372675,110,55,115,12,0.5472636815920398,0.5555555555555556,0.4732510288065844,0.631578947368421
13,292,292,42,0.5121951219512195,5.335528364244588,5.218258613964696,106,56,115,15,0.5196078431372549,0.5656565656565656,0.49356223175965663,0.5769230769230769
14,292,292,32,0.4444444444444444,5.43845199840502,5.150439970275493,116,47,124,5,0.5225225225225225,0.49473684210526314,0.5414847161572053,0.3125
15,292,292,44,0.5301204819277109,5.395193656967331,5.188597055660271,118,46,121,7,0.5315315315315315,0.5168539325842697,0.521551724137931,0.3684210526315789
16,292,292,35,0.4605263157894737,5.33765356395792,5.130180258693966,109,49,119,15,0.5265700483091788,0.49,0.5107296137339056,0.6818181818181818
17,292,292,42,0.5833333333333334,5.489663393275185,5.243839085570578,100,43,138,11,0.5494505494505495,0.4942528735632184,0.5054945054945055,0.55
18,292,292,28,0.417910447761194,5.3335868509144895,5.176071567536651,108,46,124,14,0.54,0.5287356321839081,0.4979919678714859,0.5384615384615384
19,292,292,39,0.47560975609756095,5.577122573872334,5.203861184191456,121,48,115,8,0.5401785714285714,0.5161290322580645,0.515695067264574,0.36363636363636365
20,292,292,38,0.5671641791044776,5.467180115892146,5.1453231937363455,117,43,125,7,0.5598086124401914,0.5058823529411764,0.5040322580645161,0.35
21,292,292,42,0.5185185185185185,5.433078520113235,5.282415097232508,105,48,128,11,0.5121951219512195,0.5783132530120482,0.5039370078740157,0.55
22,292,292,37,0.5211267605633803,5.490506324364394,5.274830351290917,111,45,127,9,0.5,0.5555555555555556,0.5204918032786885,0.6
23,292,292,49,0.5764705882352941,5.554082053474039,5.276267668312133,101,41,136,14,0.48325358851674644,0.5061728395061729,0.5418326693227091,0.6666666666666666
24,292,292,48,0.5647058823529412,5.30720807154079,5.189083792788289,108,54,126,4,0.5046728971962616,0.6067415730337079,0.5185185185185185,0.25
25,292,292,32,0.48484848484848486,5.4191686005038715,5.2870811232617925,111,53,117,11,0.5467980295566502,0.5408163265306123,0.47560975609756095,0.7333333333333333
26,292,292,30,0.5,5.5110075761934,5.1865425263512694,104,53,120,15,0.5174129353233831,0.6022727272727273,0.4878048780487805,0.5555555555555556
27,292,292,34,0.4358974358974359,5.37616514882959,5.259495882325025,99,54,129,10,0.5129533678756477,0.5294117647058824,0.516,0.5882352941176471
28,292,292,33,0.4782608695652174,5.673902541002094,5.234233018902326,106,51,125,10,0.5120772946859904,0.5604395604395604,0.51440329218107,0.47619047619047616
29,292,292,41,0.5324675324675324,5.459142484829177,5.23527385182632,99,45,138,10,0.47596153846153844,0.5844155844155844,0.5307692307692308,0.5882352941176471
30,292,292,33,0.55,5.390941784435768,5.135574092343023,103,49,129,11,0.5073891625615764,0.5632183908045977,0.516,0.5
31,292,292,29,0.5,5.417899503061216,5.206471104057858,101,50,129,12,0.505,0.5617977528089888,0.5098814229249012,0.6
32,292,292,36,0.5070422535211268,5.483972059656776,5.25230158684989,119,43,122,8,0.5409090909090909,0.5584415584415584,0.4860557768924303,0.5714285714285714
33,292,292,39,0.6,5.349307299180476,5.201591804226745,104,52,126,10,0.52,0.5531914893617021,0.5163934426229508,0.4166666666666667
34,292,292,35,0.5223880597014925,5.516854492738073,5.1819774479238045,103,47,129,13,0.515,0.5222222222222223,0.5180722891566265,0.5652173913043478
35,292,292,35,0.5072463768115942,5.324405027714975,5.2077144061742136,110,36,138,8,0.5238095238095238,0.4675324675324675,0.5390625,0.42105263157894735
36,292,292,42,0.5316455696202531,5.356070341396257,5.207378396961717,116,42,126,8,0.5446009389671361,0.49411764705882355,0.5080645161290323,0.5
37,292,292,39,0.5416666666666666,5.483802619540045,5.158616980757996,111,48,125,8,0.5311004784688995,0.48484848484848486,0.5208333333333334,0.5714285714285714
38,292,292,36,0.5538461538461539,5.496616895908751,5.320077139497942,112,50,119,11,0.5258215962441315,0.5376344086021505,0.5063829787234042,0.5238095238095238
39,292,292,30,0.4918032786885246,5.3583702230385875,5.143316654133463,106,58,120,8,0.4796380090497738,0.5576923076923077,0.5333333333333333,0.6666666666666666
40,292,292,40,0.5333333333333333,5.258849430433885,5.163141896873517,105,47,129,11,0.5412371134020618,0.5108695652173914,0.5058823529411764,0.5238095238095238
41,292,292,48,0.6075949367088608,5.49564814721018,5.299562180004336,111,47,122,12,0.5362318840579711,0.5465116279069767,0.488,0.631578947368421
42,292,292,40,0.5555555555555556,5.4139496252369845,5.237773033909296,100,47,128,17,0.546448087431694,0.5053763440860215,0.49230769230769234,0.6538461538461539
43,292,292,38,0.4470588235294118,5.428328637814272,5.296447883540895,105,47,128,12,0.5023923444976076,0.5662650602409639,0.5224489795918368,0.48
44,292,292,32,0.45714285714285713,5.307006676516638,5.209828856470923,106,43,136,7,0.5353535353535354,0.5,0.5230769230769231,0.3888888888888889
45,292,292,41,0.5,5.406137398164996,5.268073812911117,96,47,133,16,0.5363128491620112,0.46534653465346537,0.5215686274509804,0.5925925925925926
