Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
1,292,292,65,1.0,5.572453238589057,5.3224251848280035,99,52,129,12,0.48058252427184467,0.5591397849462365,0.5375,0.5217391304347826
2,292,292,78,1.0,5.482950991512311,5.306554759001954,121,53,109,9,0.5601851851851852,0.5353535353535354,0.4780701754385965,0.47368421052631576
3,292,292,84,1.0,5.599103871843957,5.223396171236243,123,39,125,5,0.5801886792452831,0.43820224719101125,0.5165289256198347,0.2631578947368421
4,292,292,71,1.0,5.615127492578615,5.264182926287869,118,36,131,7,0.5412844036697247,0.4235294117647059,0.5413223140495868,0.4117647058823529
5,292,292,58,1.0,5.4696481920400055,5.2815049988989875,112,41,130,9,0.5410628019323671,0.5125,0.5179282868525896,0.375
6,292,292,65,1.0,5.684793196408532,5.27194898222329,111,44,122,15,0.555,0.55,0.46923076923076923,0.6818181818181818
7,292,292,79,1.0,5.469127871629358,5.315805739464328,102,47,140,3,0.5284974093264249,0.5164835164835165,0.5185185185185185,0.375
8,292,292,69,1.0,5.59191793760526,5.258226090358886,111,51,117,13,0.5260663507109005,0.4857142857142857,0.5154185022026432,0.6842105263157895
9,292,292,55,1.0,5.563297004984999,5.358684407994833,110,48,126,8,0.5365853658536586,0.5161290322580645,0.5080645161290323,0.5
10,292,292,67,1.0,5.453850869188033,5.367267293960456,115,42,121,14,0.5373831775700935,0.4883720930232558,0.5148936170212766,0.5185185185185185
11,292,292,75,1.0,5.539268725122965,5.286468035844676,101,50,131,10,0.5126903553299492,0.5263157894736842,0.524,0.5
12,292,292,80,1.0,5.54490050790054,5.3140340994039725,110,48,121,13,0.5445544554455446,0.5217391304347826,0.4959016393442623,0.5416666666666666
13,292,292,60,1.0,5.576267124389905,5.252005628465789,94,49,132,17,0.46534653465346537,0.5764705882352941,0.5365853658536586,0.5862068965517241
14,292,292,76,1.0,5.618034274154549,5.468246803854911,107,51,125,9,0.5023474178403756,0.5425531914893617,0.5230125523012552,0.5625
15,292,292,75,1.0,5.475348570501414,5.261530026186505,96,58,122,16,0.4948453608247423,0.5858585858585859,0.5041322314049587,0.5925925925925926
16,292,292,52,1.0,5.537251488184364,5.236281171356041,99,44,135,14,0.47368421052631576,0.5176470588235295,0.5443548387096774,0.7
17,292,292,68,1.0,5.619608034930388,5.290851031160028,107,44,128,13,0.5270935960591133,0.5365853658536586,0.49612403100775193,0.6842105263157895
18,292,292,67,1.0,5.544549867364925,5.308862754811187,111,42,126,13,0.5091743119266054,0.5,0.5294117647058824,0.5909090909090909
19,292,292,63,1.0,5.370787557653252,5.308321630534164,109,40,136,7,0.5215311004784688,0.43956043956043955,0.5506072874493927,0.4666666666666667
20,292,292,71,1.0,5.6766258719404075,5.232065469622204,103,49,132,8,0.5024390243902439,0.5,0.5432098765432098,0.5
21,292,292,67,1.0,5.520399490004892,5.280834046709815,127,35,124,6,0.5906976744186047,0.3763440860215054,0.5210084033613446,0.375
22,292,292,67,1.0,5.509262587897156,5.328695738114773,111,43,129,9,0.5138888888888888,0.524390243902439,0.5201612903225806,0.5625
23,292,292,65,1.0,5.62924501444059,5.216126814492937,86,45,148,13,0.44559585492227977,0.5172413793103449,0.5714285714285714,0.5652173913043478
