Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
1,292,292,32,0.45714285714285713,5.619275530141725,5.340355391629194,111,37,134,10,0.502262443438914,0.4805194805194805,0.5425101214574899,0.5882352941176471
2,292,292,33,0.4782608695652174,5.379616236603246,5.226661025043487,115,48,117,12,0.5227272727272727,0.5,0.5131578947368421,0.6666666666666666
3,292,292,32,0.4507042253521127,5.52458059963606,5.370488622927574,107,51,128,6,0.4692982456140351,0.5543478260869565,0.5541125541125541,0.5454545454545454
4,292,292,31,0.4492753623188406,5.645362822102743,5.4500871861184725,118,41,129,4,0.5363636363636364,0.45054945054945056,0.5397489539748954,0.3333333333333333
5,292,292,47,0.5465116279069767,5.523470462301321,5.311822995029136,112,43,131,6,0.5358851674641149,0.43,0.5504201680672269,0.4
6,292,292,44,0.6875,5.43884729320596,5.301314145316821,118,40,126,8,0.5756097560975609,0.45454545454545453,0.4980237154150198,0.5
7,292,292,41,0.6029411764705882,5.447581589296163,5.2960932346565635,110,46,126,10,0.5555555555555556,0.5111111111111111,0.490272373540856,0.5882352941176471
8,292,292,31,0.5081967213114754,5.527955044201477,5.232402774024912,106,44,135,7,0.5380710659898477,0.5569620253164557,0.4981549815498155,0.4666666666666667
9,292,292,35,0.4375,5.481905377547179,5.378073795481368,114,54,120,4,0.5089285714285714,0.5510204081632653,0.5381165919282511,0.23529411764705882
10,292,292,38,0.6229508196721312,5.400811452965145,5.292860597584422,105,51,127,9,0.49065420560747663,0.5930232558139535,0.5313807531380753,0.391304347826087
11,292,292,40,0.547945205479452,5.613849680410809,5.4650213068939015,119,39,125,9,0.5586854460093896,0.5416666666666666,0.4826254826254826,0.5
12,292,292,36,0.5625,5.521191234613891,5.3807016405472154,114,40,128,10,0.5135135135135135,0.4819277108433735,0.5378151260504201,0.5263157894736842
13,292,292,41,0.5774647887323944,5.4916769935146235,5.3364340659288185,109,48,126,9,0.529126213592233,0.5333333333333333,0.5080645161290323,0.5
14,292,292,27,0.46551724137931033,5.396924094190325,5.273252635698832,102,44,139,7,0.46153846153846156,0.5365853658536586,0.5840336134453782,0.3333333333333333
15,292,292,47,0.6438356164383562,5.442124475995538,5.368789538296202,112,35,129,16,0.5685279187817259,0.4268292682926829,0.49236641221374045,0.7619047619047619
16,292,292,41,0.47126436781609193,5.61072992265012,5.310531602631856,108,39,137,8,0.4864864864864865,0.5652173913043478,0.541501976284585,0.4444444444444444
17,292,292,37,0.5211267605633803,5.46389372187993,5.282819451131027,112,49,121,10,0.5517241379310345,0.5384615384615384,0.5,0.38461538461538464
18,292,292,52,0.6753246753246753,5.479054351346293,5.3100641186392314,106,48,123,15,0.4732142857142857,0.5714285714285714,0.5418502202643172,0.5555555555555556
19,292,292,34,0.5230769230769231,5.510950615876839,5.310759794773831,110,40,134,8,0.5288461538461539,0.5,0.5338645418326693,0.34782608695652173
20,292,292,54,0.5869565217391305,5.486834437765757,5.320856920636166,112,51,120,9,0.5517241379310345,0.5368421052631579,0.4838709677419355,0.5625
21,292,292,34,0.44155844155844154,5.585716657605446,5.404716575907335,102,43,138,9,0.5177664974619289,0.5443037974683544,0.5247148288973384,0.391304347826087
22,292,292,29,0.38666666666666666,5.53008911844822,5.385053172205212,109,54,118,11,0.5117370892018779,0.5684210526315789,0.5130434782608696,0.4583333333333333
23,292,292,33,0.4342105263157895,5.495293076477553,5.295772276581027,117,44,123,8,0.5294117647058824,0.4888888888888889,0.5234042553191489,0.5
24,292,292,32,0.463768115942029,5.446281074847458,5.268246096264109,118,48,117,9,0.5412844036697247,0.5161290322580645,0.5,0.5294117647058824
25,292,292,27,0.47368421052631576,5.468805687546791,5.288672348845129,111,47,121,13,0.5362318840579711,0.5595238095238095,0.484,0.6190476190476191
26,292,292,31,0.543859649122807,5.483922195672335,5.345621171787606,105,40,140,7,0.525,0.45454545454545453,0.5384615384615384,0.5
27,292,292,31,0.45588235294117646,5.409379555228804,5.22753317174446,95,46,138,13,0.472636815920398,0.5111111111111111,0.549800796812749,0.65
28,292,292,36,0.4864864864864865,5.497121279974958,5.296018732085485,100,50,127,15,0.4830917874396135,0.5617977528089888,0.5204918032786885,0.6818181818181818
29,292,292,37,0.5285714285714286,5.548229982913975,5.360514693785197,104,38,137,13,0.5226130653266332,0.5,0.5209125475285171,0.5416666666666666
30,292,292,39,0.5735294117647058,5.539589732540372,5.332351503864142,110,51,122,9,0.5612244897959183,0.504950495049505,0.4899598393574297,0.5625
31,292,292,32,0.5079365079365079,5.554326357688125,5.257791345127968,110,58,114,10,0.5445544554455446,0.5523809523809524,0.4810126582278481,0.5555555555555556
32,292,292,39,0.6,5.608520625694945,5.399663078416629,113,40,125,14,0.49344978165938863,0.5633802816901409,0.5230125523012552,0.6086956521739131
33,292,292,38,0.475,5.561903146073665,5.322518437344566,112,43,129,8,0.5384615384615384,0.48863636363636365,0.5139442231075697,0.5333333333333333
34,292,292,37,0.5211267605633803,5.436935941701157,5.2480920078873154,107,38,141,6,0.5219512195121951,0.42696629213483145,0.5529411764705883,0.46153846153846156
35,292,292,43,0.4942528735632184,5.377000051140692,5.206484618665647,109,45,120,18,0.5093457943925234,0.5113636363636364,0.5128205128205128,0.6923076923076923
36,292,292,31,0.40789473684210525,5.426417413434591,5.314304498827891,118,43,123,8,0.5388127853881278,0.5180722891566265,0.5061728395061729,0.47058823529411764
