Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
1,292,292,61,1.0,341.0899427729889,6.2531111976296,124,39,119,10,0.5367965367965368,0.48148148148148145,0.5129310344827587,0.5555555555555556
2,292,292,59,1.0,338.77086462719706,6.23557077724684,104,41,139,8,0.5048543689320388,0.5061728395061729,0.54296875,0.42105263157894735
3,292,292,85,1.0,313.95182147071455,6.275640304821991,111,44,130,7,0.5045454545454545,0.5945945945945946,0.52,0.3888888888888889
4,292,292,70,1.0,324.8486042680965,6.293043000057611,92,57,137,6,0.4444444444444444,0.5643564356435643,0.5661157024793388,0.5
5,292,292,81,1.0,354.6352428428642,6.230328187221777,108,38,137,9,0.5294117647058824,0.4523809523809524,0.5330739299610895,0.5294117647058824
6,292,292,70,1.0,319.86627748428003,6.3516029419442805,121,42,117,12,0.5353982300884956,0.5185185185185185,0.5064935064935064,0.5
7,292,292,72,1.0,331.3825149014341,6.372227915164987,112,43,124,13,0.49777777777777776,0.5375,0.5299145299145299,0.5652173913043478
8,292,292,68,1.0,333.40404556751145,6.305420283055769,116,40,127,9,0.5345622119815668,0.5194805194805194,0.5183673469387755,0.391304347826087
9,292,292,53,1.0,336.8635095270636,6.245475427876055,111,54,122,5,0.5336538461538461,0.5806451612903226,0.5,0.29411764705882354
10,292,292,55,1.0,327.7889713248979,6.320059901725726,99,42,146,5,0.5076923076923077,0.4772727272727273,0.553030303030303,0.3333333333333333
11,292,292,78,1.0,352.1417651043568,6.310970610933273,108,50,127,7,0.5023255813953489,0.6024096385542169,0.5141700404858299,0.4117647058823529
12,292,292,76,1.0,316.11479008158346,6.288413361227173,112,47,129,4,0.5628140703517588,0.46534653465346537,0.5222672064777328,0.26666666666666666
13,292,292,71,1.0,339.4094334958585,6.367213394349956,108,42,128,14,0.5118483412322274,0.47191011235955055,0.5333333333333333,0.6363636363636364
14,292,292,76,1.0,333.8861176865816,6.238951441713381,108,46,122,16,0.5294117647058824,0.48936170212765956,0.5147679324894515,0.5925925925925926
15,292,292,65,1.0,334.9100529067307,6.294452679829937,110,45,124,13,0.55,0.4639175257731959,0.5210084033613446,0.48148148148148145
16,292,292,69,1.0,316.9921579060889,6.368404868005477,106,45,131,10,0.5492227979274611,0.47368421052631576,0.515748031496063,0.5
17,292,292,73,1.0,339.5171749779006,6.2263382771610445,107,44,130,11,0.5023474178403756,0.5,0.5416666666666666,0.5238095238095238
18,292,292,82,1.0,343.77801110653127,6.232433844679344,127,45,114,6,0.5570175438596491,0.47368421052631576,0.5205479452054794,0.3
19,292,292,82,1.0,359.3988170418181,6.311622419209844,104,51,132,5,0.5279187817258884,0.5368421052631579,0.5176470588235295,0.3333333333333333
20,292,292,77,1.0,339.48737509067433,6.307940587876927,109,50,123,10,0.5023041474654378,0.49504950495049505,0.5565610859728507,0.43478260869565216
21,292,292,71,1.0,336.8161131111558,6.199218104333467,106,53,126,7,0.49765258215962443,0.6091954022988506,0.5142857142857142,0.4117647058823529
22,292,292,61,1.0,331.53397660521256,6.320725738084379,111,42,123,16,0.5577889447236181,0.5060240963855421,0.4900398406374502,0.5517241379310345
23,292,292,87,1.0,319.8418149338538,6.414123832047232,112,52,118,10,0.5517241379310345,0.5591397849462365,0.4777327935222672,0.5263157894736842
24,292,292,77,1.0,336.6062020398483,6.323058611866449,100,47,135,10,0.5434782608695652,0.47959183673469385,0.5212355212355212,0.47619047619047616
25,292,292,81,1.0,332.2512034939887,6.295562107727206,112,49,121,10,0.5185185185185185,0.5104166666666666,0.521551724137931,0.5555555555555556
26,292,292,77,1.0,358.3983287130429,6.267886437810234,101,48,127,16,0.5260416666666666,0.5217391304347826,0.5141700404858299,0.5161290322580645
27,292,292,59,1.0,360.348883076584,6.306108606882663,101,41,145,5,0.520618556701031,0.47126436781609193,0.5430711610486891,0.35714285714285715
28,292,292,79,1.0,325.0915411767853,6.298055313123011,108,45,129,10,0.5217391304347826,0.5357142857142857,0.5201612903225806,0.43478260869565216
29,292,292,63,1.0,356.2846395336053,6.183707513212486,99,54,125,14,0.4876847290640394,0.5454545454545454,0.5341880341880342,0.5384615384615384
30,292,292,64,1.0,345.4896896307135,6.253030682418784,97,45,141,9,0.5052083333333334,0.4891304347826087,0.5340909090909091,0.6428571428571429
31,292,292,71,1.0,337.2892645852376,6.230023554125729,111,52,112,17,0.5,0.5977011494252874,0.4933920704845815,0.6538461538461539
