Iteration,Total-Applicants-Assigned,Total-#-Houses,Disabiled-Applicants-Assigned,%-Disabiled-Applicants-Assigned,Disability-Utility,Distance-Utility,#-Blacks,#-Hispanics,#-Whites,#-Others,%-Blacks,%-Hispanics,%-Whites,%-Others
1,292,292,41,0.5394736842105263,332.74585681867273,6.417136797775379,112,46,128,6,0.5283018867924528,0.5822784810126582,0.4980544747081712,0.42857142857142855
2,292,292,42,0.5526315789473685,330.1331229608989,6.319902639791457,112,47,117,16,0.5628140703517588,0.5108695652173914,0.4854771784232365,0.5333333333333333
3,292,292,40,0.5555555555555556,309.71216327103605,6.462847899529325,104,49,127,12,0.5,0.532608695652174,0.5291666666666667,0.5454545454545454
4,292,292,35,0.5932203389830508,320.5158511192423,6.37787177316266,112,37,131,12,0.5185185185185185,0.47435897435897434,0.5261044176706827,0.631578947368421
5,292,292,41,0.5189873417721519,307.1329965662497,6.367860426702709,110,44,132,6,0.5045871559633027,0.5432098765432098,0.5365853658536586,0.35294117647058826
6,292,292,48,0.676056338028169,381.7625058159258,6.215274699958097,133,51,96,12,0.588495575221239,0.5795454545454546,0.43636363636363634,0.42857142857142855
7,292,292,43,0.589041095890411,330.3745145618618,6.365973539162014,109,46,128,9,0.5,0.5287356321839081,0.5311203319502075,0.5625
8,292,292,39,0.5652173913043478,340.38041965109596,6.286553556814729,120,43,120,9,0.547945205479452,0.4725274725274725,0.5084745762711864,0.5625
9,292,292,47,0.6619718309859155,337.83735436200226,6.3526112728343715,93,52,135,12,0.49206349206349204,0.5,0.5555555555555556,0.46153846153846156
10,292,292,44,0.6376811594202898,353.8480707135373,6.257678320103821,121,52,113,6,0.5238095238095238,0.5842696629213483,0.5,0.375
11,292,292,40,0.5882352941176471,335.5538179508842,6.347007014621358,104,54,118,16,0.49523809523809526,0.6206896551724138,0.4896265560165975,0.6666666666666666
12,292,292,36,0.5901639344262295,340.77375456214,6.306791680047551,120,40,129,3,0.5633802816901409,0.4819277108433735,0.5119047619047619,0.21428571428571427
13,292,292,38,0.5757575757575758,321.596334684408,6.390208346354386,114,40,130,8,0.5615763546798029,0.47619047619047616,0.5019305019305019,0.5
14,292,292,49,0.6125,326.27942416239193,6.35965132771139,99,68,121,4,0.4782608695652174,0.6666666666666666,0.4959016393442623,0.4444444444444444
15,292,292,40,0.5633802816901409,365.38657394375576,6.354527227392672,101,61,122,8,0.505,0.5596330275229358,0.5083333333333333,0.6153846153846154
16,292,292,43,0.6323529411764706,326.3064968095446,6.4621365915650175,106,52,127,7,0.5196078431372549,0.48598130841121495,0.5450643776824035,0.3888888888888889
17,292,292,46,0.6133333333333333,351.34658903374805,6.2831780397095125,113,41,130,8,0.518348623853211,0.45555555555555555,0.5462184873949579,0.5
18,292,292,38,0.6031746031746031,326.13960833740214,6.44328733313469,106,37,136,13,0.5408163265306123,0.44047619047619047,0.5230769230769231,0.5909090909090909
19,292,292,50,0.6172839506172839,344.80849716450837,6.327182023225191,96,50,137,9,0.5303867403314917,0.5494505494505495,0.49818181818181817,0.6
